round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.86343,0.71157,0.54642,0.55232,0.86343,0.86343,0.86343
2,0.86264,0.70306,0.54833,0.55548,0.86264,0.86264,0.86264
3,0.86239,0.69993,0.55316,0.56302,0.86239,0.86239,0.86239
4,0.86243,0.70039,0.55218,0.56151,0.86243,0.86243,0.86243
5,0.86276,0.70254,0.55575,0.56694,0.86276,0.86276,0.86276
6,0.86244,0.7005,0.55255,0.56207,0.86244,0.86244,0.86244
7,0.8626,0.70161,0.5537,0.56384,0.8626,0.8626,0.8626
8,0.86256,0.70133,0.55344,0.56344,0.86256,0.86256,0.86256
9,0.86274,0.70248,0.55521,0.56612,0.86274,0.86274,0.86274
10,0.8626,0.70154,0.55418,0.56456,0.8626,0.8626,0.8626
11,0.86244,0.70066,0.55154,0.56052,0.86244,0.86244,0.86244
12,0.86268,0.70202,0.55511,0.56598,0.86268,0.86268,0.86268
13,0.86258,0.70149,0.55346,0.56346,0.86258,0.86258,0.86258
14,0.86272,0.70246,0.55437,0.56485,0.86272,0.86272,0.86272
15,0.86264,0.70179,0.55456,0.56514,0.86264,0.86264,0.86264
16,0.86246,0.70074,0.55208,0.56136,0.86246,0.86246,0.86246
17,0.86254,0.70118,0.55337,0.56334,0.86254,0.86254,0.86254
18,0.8626,0.70142,0.55495,0.56573,0.8626,0.8626,0.8626
19,0.86248,0.70077,0.55292,0.56265,0.86248,0.86248,0.86248
20,0.86246,0.70071,0.55226,0.56163,0.86246,0.86246,0.86246
21,0.86274,0.70259,0.55456,0.56513,0.86274,0.86274,0.86274
22,0.86237,0.69996,0.55179,0.56091,0.86237,0.86237,0.86237
23,0.86272,0.70241,0.55466,0.5653,0.86272,0.86272,0.86272
24,0.86266,0.70207,0.55386,0.56407,0.86266,0.86266,0.86266
25,0.8627,0.70217,0.55513,0.566,0.8627,0.8627,0.8627
