round,loss,accuracy,f1
1,0.9569985866546631,0.7715665405234942,0.3264833796178869
2,0.956586480140686,0.8073005361084832,0.3002488019073389
3,1.0067732334136963,0.6860020498265531,0.2798991917873856
4,0.9215219616889954,0.8259105960264901,0.32062536397522406
5,0.8971196413040161,0.8551166824345632,0.30776790238584656
6,0.9291542768478394,0.8409689372437716,0.3072822169689427
7,0.9559206366539001,0.8085028382213812,0.3146624681205536
8,0.9656440615653992,0.7928413749605803,0.2979081520403534
9,0.9618421792984009,0.8042652160201829,0.3039138791825032
10,0.9489820003509521,0.8179596341847998,0.3018583389432566
11,0.8532511591911316,0.8583412172816146,0.3087017415556926
12,0.8818371891975403,0.85248738568275,0.3069471612075142
13,0.8543940186500549,0.8582071901608326,0.30959243350710625
14,0.8919022679328918,0.8519749290444655,0.3068623732757289
15,0.9633257389068604,0.7842242194891201,0.2960285909482498
16,0.8900322914123535,0.8511431725007884,0.30679188430696325
17,0.9450584650039673,0.817214601072217,0.30236586803592114
18,0.8776043057441711,0.8539143803216651,0.3071945474468413
19,0.8694937825202942,0.8574897508672343,0.3079806137291245
20,0.8769566416740417,0.8573438978240303,0.3089791236214814
